# dNdVdM (Ms-1pc-3), M (Ms)
1.017751683244565442e+00, 1.398861149920890329e-10
1.053885294249726989e+00, 1.187451989594928147e-10
1.091301770088980660e+00, 9.880171127539981642e-11
1.130046656782687009e+00, 7.906532529297831341e-11
1.170167117388259737e+00, 6.502327381966449527e-11
1.211711989410424906e+00, 5.337602622366030683e-11
1.254731844249736827e+00, 4.726394333087856678e-11
1.299279048761718514e+00, 3.970162896637486835e-11
1.345407829001554978e+00, 3.234853676591598932e-11
1.393174336231943089e+00, 2.662630661750888994e-11
1.442636715274437487e+00, 2.039943058581570354e-11
1.493855175287501780e+00, 1.611400342888061420e-11
1.546892063057418554e+00, 1.217724504789034815e-11
1.601811938891273712e+00, 9.115870933945309000e-12
1.658681655204396144e+00, 7.138011632225317561e-12
1.717570437897915969e+00, 5.606813700492834585e-12
1.778549970625502574e+00, 4.459402672799585764e-12
1.841694482051852599e+00, 3.482587734077343430e-12
1.907080836209149588e+00, 2.995838303866306518e-12
1.974788626061481089e+00, 2.628355575360444952e-12
2.044900270391108776e+00, 1.999563133536054183e-12
2.117501114124527462e+00, 1.516246061161225017e-12
2.192679532220433103e+00, 1.119303862559352728e-12
2.270527037246071522e+00, 9.203042932204996787e-13
2.351138390772899101e+00, 7.431316680588610522e-13
2.434611718727174079e+00, 5.690014374481561327e-13
2.521048630835878157e+00, 3.845341097979118680e-13
2.610554344313365860e+00, 2.758395884404469811e-13
2.703237811939315893e+00, 1.827505284314628244e-13
2.799211854683873568e+00, 1.096797735351533577e-13
2.898593299041435145e+00, 7.253866009026003934e-14
3.001503119240241713e+00, 4.339479195090585419e-14
3.108066584500897456e+00, 2.634151394564977450e-14
3.218413411523053824e+00, 1.792248535045984903e-14
3.332677922385890668e+00, 1.758715450300114105e-14
3.450999208054591705e+00, 1.267072228465004524e-14
3.573521297691854670e+00, 8.591439555626702573e-15
3.700393333980523281e+00, 5.531248430256050430e-15
3.831769754670770745e+00, 3.399202241748900767e-15
3.967810480572813603e+00, 2.813705890090554202e-15
4.108681110224004840e+00, 1.585053693693982706e-15
4.254553121467256283e+00, 8.746905100811570502e-16
4.405604080186183324e+00, 2.322927168144977191e-15
4.562017856451044295e+00, 2.039348242971684604e-15
4.723984848338584897e+00, 2.166369651577958273e-15
4.891702213698251533e+00, 1.521522397484651215e-15
5.065374110146873221e+00, 1.102016502353369046e-15
5.245211943583972136e+00, 5.321163300944908703e-16
5.431434625530199511e+00, 5.138721392076442588e-16
5.624268839602153847e+00, 6.616712938364490236e-16
5.823949317447947749e+00, 6.389851691934552370e-16
6.030719124479425375e+00, 4.628076473763162244e-16
6.244829955748828709e+00, 4.469397805489127496e-16
6.466542442330083240e+00, 4.316159609063024130e-16
6.696126468577647373e+00, 1.389391783983907125e-16
